model,interval,lang_count
facebook/nllb-200-3.3B,"(2.50, 2.75]",3
facebook/nllb-200-3.3B,"[1.00, 1.25]",28
facebook/nllb-moe-54b,"(1.25, 1.50]",117
facebook/nllb-moe-54b,"(1.50, 1.75]",40
facebook/nllb-moe-54b,"(1.75, 2.00]",9
facebook/nllb-moe-54b,"(2.00, 2.25]",6
facebook/nllb-moe-54b,"(2.50, 2.75]",3
facebook/nllb-moe-54b,"[1.00, 1.25]",28
gemini-3.1-pro-preview,"(1.25, 1.50]",39
gemini-3.1-pro-preview,"(1.50, 1.75]",43
gemini-3.1-pro-preview,"(1.75, 2.00]",60
gemini-3.1-pro-preview,"(2.00, 2.25]",24
gemini-3.1-pro-preview,"(2.25, 2.50]",12
gemini-3.1-pro-preview,"(2.50, 2.75]",4
gemini-3.1-pro-preview,"(2.75, 3.00]",4
gemini-3.1-pro-preview,"(3.00, inf)",8
gemini-3.1-pro-preview,"[1.00, 1.25]",9
gemini-3.8-flash,"(1.25, 1.50]",39
gemini-3.8-flash,"(1.50, 1.75]",43
gemini-3.8-flash,"(1.75, 2.00]",60
gemini-3.8-flash,"(2.00, 2.25]",24
gemini-3.8-flash,"(2.25, 2.50]",12
gemini-3.8-flash,"(2.50, 2.75]",4
gemini-3.8-flash,"(2.75, 3.00]",4
gemini-3.8-flash,"(3.00, inf)",8
gemini-3.8-flash,"[1.00, 1.25]",9
google/gemma-3-4b-it,"(1.25, 1.50]",39
google/gemma-3-4b-it,"(1.50, 1.75]",43
google/gemma-3-4b-it,"(1.75, 2.00]",60
google/gemma-3-4b-it,"(2.00, 2.25]",24
google/gemma-3-4b-it,"(2.25, 2.50]",12
google/gemma-3-4b-it,"(2.50, 2.75]",4
google/gemma-3-4b-it,"(2.75, 3.00]",4
google/gemma-3-4b-it,"(3.00, inf)",8
google/gemma-3-4b-it,"[1.00, 1.25]",9
google/gemma-4-E4B-it,"(1.25, 1.50]",39
google/gemma-4-E4B-it,"(1.50, 1.75]",43
google/gemma-4-E4B-it,"(1.75, 2.00]",60
google/gemma-4-E4B-it,"(2.00, 2.25]",24
google/gemma-4-E4B-it,"(2.25, 2.50]",12
google/gemma-4-E4B-it,"(2.50, 2.75]",4
google/gemma-4-E4B-it,"(2.75, 3.00]",4
google/gemma-4-E4B-it,"(3.00, inf)",8
google/gemma-4-E4B-it,"[1.00, 1.25]",9
gpt-5,"(1.25, 1.50]",39
gpt-5,"(1.50, 1.75]",54
gpt-5,"(1.75, 2.00]",61
gpt-5,"(2.00, 2.25]",18
gpt-5,"(2.25, 2.50]",1
gpt-5,"(2.50, 2.75]",9
gpt-5,"(2.75, 3.00]",2
gpt-5,"(3.00, inf)",15
gpt-5,"[1.00, 1.25]",4
gpt-6-astra,"(1.25, 1.50]",39
gpt-6-astra,"(1.50, 1.75]",54
gpt-6-astra,"(1.75, 2.00]",61
gpt-6-astra,"(2.00, 2.25]",18
gpt-6-astra,"(2.25, 2.50]",1
gpt-6-astra,"(2.50, 2.75]",9
gpt-6-astra,"(2.75, 3.00]",2
gpt-6-astra,"(3.00, inf)",15
gpt-6-astra,"[1.00, 1.25]",4
ibm-granite/granite-4.1-3b,"(1.25, 1.50]",1
ibm-granite/granite-4.1-3b,"(1.50, 1.75]",21
ibm-granite/granite-4.1-3b,"(1.75, 2.00]",35
ibm-granite/granite-4.1-3b,"(2.00, 2.25]",40
ibm-granite/granite-4.1-3b,"(2.25, 2.50]",24
ibm-granite/granite-4.1-3b,"(2.50, 2.75]",6
ibm-granite/granite-4.1-3b,"(2.75, 3.00]",11
ibm-granite/granite-4.1-3b,"(3.00, inf)",64
ibm-granite/granite-4.1-3b,"[1.00, 1.25]",1
ibm-granite/granite-4.1-8b,"(1.25, 1.50]",1
ibm-granite/granite-4.1-8b,"(1.50, 1.75]",21
ibm-granite/granite-4.1-8b,"(1.75, 2.00]",35
ibm-granite/granite-4.1-8b,"(2.00, 2.25]",40
ibm-granite/granite-4.1-8b,"(2.25, 2.50]",24
ibm-granite/granite-4.1-8b,"(2.50, 2.75]",6
ibm-granite/granite-4.1-8b,"(2.75, 3.00]",11
ibm-granite/granite-4.1-8b,"(3.00, inf)",64
ibm-granite/granite-4.1-8b,"[1.00, 1.25]",1
meta-llama/Llama-2-7b-hf,"(1.25, 1.50]",11
meta-llama/Llama-2-7b-hf,"(1.50, 1.75]",29
meta-llama/Llama-2-7b-hf,"(1.75, 2.00]",56
meta-llama/Llama-2-7b-hf,"(2.00, 2.25]",29
meta-llama/Llama-2-7b-hf,"(2.25, 2.50]",8
meta-llama/Llama-2-7b-hf,"(2.50, 2.75]",5
meta-llama/Llama-2-7b-hf,"(2.75, 3.00]",3
meta-llama/Llama-2-7b-hf,"(3.00, inf)",61
meta-llama/Llama-2-7b-hf,"[1.00, 1.25]",1
meta-llama/Llama-3.2-3B-Instruct,"(1.25, 1.50]",8
meta-llama/Llama-3.2-3B-Instruct,"(1.50, 1.75]",36
meta-llama/Llama-3.2-3B-Instruct,"(1.75, 2.00]",37
meta-llama/Llama-3.2-3B-Instruct,"(2.00, 2.25]",44
meta-llama/Llama-3.2-3B-Instruct,"(2.25, 2.50]",15
meta-llama/Llama-3.2-3B-Instruct,"(2.50, 2.75]",18
meta-llama/Llama-3.2-3B-Instruct,"(2.75, 3.00]",7
meta-llama/Llama-3.2-3B-Instruct,"(3.00, inf)",37
meta-llama/Llama-3.2-3B-Instruct,"[1.00, 1.25]",1
meta-llama/Llama-3.3-70B-Instruct,"(1.25, 1.50]",8
meta-llama/Llama-3.3-70B-Instruct,"(1.50, 1.75]",36
meta-llama/Llama-3.3-70B-Instruct,"(1.75, 2.00]",37
meta-llama/Llama-3.3-70B-Instruct,"(2.00, 2.25]",44
meta-llama/Llama-3.3-70B-Instruct,"(2.25, 2.50]",15
meta-llama/Llama-3.3-70B-Instruct,"(2.50, 2.75]",18
meta-llama/Llama-3.3-70B-Instruct,"(2.75, 3.00]",7
meta-llama/Llama-3.3-70B-Instruct,"(3.00, inf)",37
meta-llama/Llama-3.3-70B-Instruct,"[1.00, 1.25]",1
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(1.25, 1.50]",25
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(1.50, 1.75]",45
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(1.75, 2.00]",53
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(2.00, 2.25]",28
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(2.25, 2.50]",11
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(2.50, 2.75]",9
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(2.75, 3.00]",5
meta-llama/Llama-4-Scout-17B-16E-Instruct,"(3.00, inf)",19
meta-llama/Llama-4-Scout-17B-16E-Instruct,"[1.00, 1.25]",8
meta-models/Muse-Glimmer-30B,"(1.25, 1.50]",25
meta-models/Muse-Glimmer-30B,"(1.50, 1.75]",45
meta-models/Muse-Glimmer-30B,"(1.75, 2.00]",53
meta-models/Muse-Glimmer-30B,"(2.00, 2.25]",28
meta-models/Muse-Glimmer-30B,"(2.25, 2.50]",11
meta-models/Muse-Glimmer-30B,"(2.50, 2.75]",9
meta-models/Muse-Glimmer-30B,"(2.75, 3.00]",5
meta-models/Muse-Glimmer-30B,"(3.00, inf)",19
meta-models/Muse-Glimmer-30B,"[1.00, 1.25]",8
microsoft/phi-4,"(1.25, 1.50]",1
microsoft/phi-4,"(1.50, 1.75]",21
microsoft/phi-4,"(1.75, 2.00]",35
